Q#,Section,Topic Code,Topic Name,Confidence,Text Preview
1,verbal_ability,VA_SYN,Synonyms,0.95,"Ameliorate"
2,verbal_ability,VA_OWS,One Word Substitution,0.80,"Haggle [LIKELY FIGURE - incomplete text]"
3,numerical_ability,NA_NUM,Number System,0.90,"The smaller number is:"
4,verbal_ability,VA_SYN,Synonyms,0.90,"Taciturn [LIKELY FIGURE - incomplete text]"
5,verbal_ability,VA_SYN,Synonyms,0.80,"Cajole [LIKELY FIGURE - incomplete text]"
6,verbal_ability,VA_IDIOM,Idioms & Phrases,0.90,"A man of straw"
7,verbal_ability,VA_IDIOM,Idioms & Phrases,0.90,"To catch a tartar"
8,verbal_ability,VA_IDIOM,Idioms & Phrases,0.95,"To have an axe to grind"
9,verbal_ability,VA_IDIOM,Idioms & Phrases,0.95,"To play second fiddle"
10,verbal_ability,VA_IDIOM,Idioms & Phrases,0.90,"To go to the wall"
11,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
12,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
13,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
14,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
15,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.90,"[FIGURE QUESTION - non verbal reasoning pattern/di"
16,verbal_ability,VA_COMP,Reading Comprehension,0.90,"Which of the following statements is correct accor"
17,general_awareness,GA_CURR,Current Affairs,0.80,"The West did not pay heed to:"
18,general_awareness,GA_CURR,Current Affairs,0.80,"India's perception towards USSR was always"
19,general_awareness,GA_CURR,Current Affairs,0.50,"The passage given above is"
20,verbal_ability,VA_SYN,Synonyms,0.90,"Relinquish"
21,verbal_ability,VA_OWS,One Word Substitution,0.80,"Quiescent [LIKELY FIGURE - incomplete text]"
22,verbal_ability,VA_SYN,Synonyms,0.90,"Flagitious"
23,verbal_ability,VA_SYN,Synonyms,0.90,"Gregarious"
24,verbal_ability,VA_OWS,One Word Substitution,0.80,"Hirsute [LIKELY FIGURE - incomplete text]"
25,verbal_ability,VA_SYN,Synonyms,0.80,"Urbane [LIKELY FIGURE - incomplete text]"
26,general_awareness,GA_GEO_IND,Indian Geography,0.95,"Where is Lothal; a prominent city of the ancient I"
27,general_awareness,GA_AWARDS,Awards & Honours,0.95,"Which of the following films won Oscar in the best"
28,general_awareness,GA_DEF,Defence & Military,0.90,"Which navy ship was decommissioned in 2017?"
29,general_awareness,GA_HIST_MOD,Modern History,0.95,"Which of the following places was chosen by Gandhi"
30,general_awareness,GA_AWARDS,Awards & Honours,0.90,"Who won the Nobel Prize for the novel "Old Man and"
31,general_awareness,GA_GEO_WORLD,World Geography,0.90,"What was the old name of Myanmar?"
32,general_awareness,GA_CULTURE,Art & Culture,0.90,"Aladdin is the character of which of the following"
33,general_awareness,GA_ORG,Organizations,0.90,"Where is the office of the International Court of "
34,general_awareness,GA_SPORTS,Sports,0.90,"[RESCUED GA Q34] (a) Hague  (b) Washington  (c) Mo"
35,general_awareness,GA_GEO_WORLD,World Geography,0.95,"Which is the deepest trench in the world?"
36,general_awareness,GA_SPORTS,Sports,0.95,"Who was the first cricket player to be declared ou"
37,general_awareness,GA_POLITY,Polity & Governance,0.90,"Who was the first NSA of India?"
38,general_awareness,GA_CULTURE,Art & Culture,0.90,"Satyajit Ray was a"
39,general_awareness,GA_POLITY,Polity & Governance,0.95,"Mandal Commission was established by which of the "
40,general_awareness,GA_SPORTS,Sports,0.90,"Which Cuban athlete is called 'horse'?"
41,general_awareness,GA_SPORTS,Sports,0.95,"Michael Ferreira is related to which sports?"
42,general_awareness,GA_ORG,Organizations,0.95,"Where is headquarter of World Health Organization "
43,general_awareness,GA_SPORTS,Sports,0.90,"Who was named ICC cricketer of the year 2016?"
44,general_awareness,GA_SPORTS,Sports,0.95,"Which of the following states won Vijay Hazare Tro"
45,general_awareness,GA_CULTURE,Art & Culture,0.95,"Bharatanatyam is the classical dance of which stat"
46,general_awareness,GA_DEF,Defence & Military,0.95,"Who was the Indian Air Chief in November 2016?"
47,general_awareness,GA_GEO_IND,Indian Geography,0.90,"[RESCUED GA Q47] (a) Birender Singh Dhanoa  (b) Ar"
48,general_awareness,GA_AWARDS,Awards & Honours,0.95,"Who won the Nobel Peace Prize in 2016?"
49,general_awareness,GA_GEO_IND,Indian Geography,0.95,"On which river the Baglihar Dam is built?"
50,general_awareness,GA_HIST_MOD,Modern History,0.95,"The first meeting of Indian National Congress was "
51,numerical_ability,NA_SPD,Speed, Distance, Time,0.95,"A man whose speed is 4.5 kmph in still water rows "
52,numerical_ability,NA_RAT,Ratio & Proportion,0.90,"The ratio of the number of boys and girls in a sch"
53,numerical_ability,NA_TW,Time & Work,0.95,"[RESCUED GA Q53] (a) 80  (b) 72  (c) 58  (d) 76   "
54,numerical_ability,NA_TRAIN,Trains & Platforms,0.95,"A train moving at a cover a rate of 90 kmph. Cross"
55,numerical_ability,NA_TW,Time & Work,0.95,"A and B together can complete a piece of work in 1"
56,numerical_ability,NA_PER,Percentage,0.95,"If a number exceeds 40% of itself by 56; then what"
57,numerical_ability,NA_AVG,Average,0.95,"Average weight of 15 students increased by 1.5 kg "
58,numerical_ability,NA_AVG,Average,0.95,"Average temperature of Tuesday to Thursday was 38 "
59,numerical_ability,NA_PL,Profit & Loss,0.95,"A shopkeeper sell a watch for Rs. 575 and makes a "
60,numerical_ability,NA_NUM,Number System,0.90,"A men spend 1/3 of his income on food;1/4 of the r"
61,numerical_ability,NA_PL,Profit & Loss,0.95,"A cloth merchant says that due to slump in the mar"
62,numerical_ability,NA_RAT,Ratio & Proportion,0.95,"Two number are in the ratio 12: 13. If 20 is subtr"
63,numerical_ability,NA_TRAIN,Trains & Platforms,0.95,"A train passes a man standing on a platform in 10 "
64,numerical_ability,NA_TRAIN,Trains & Platforms,0.95,"[RESCUED REASONING Q64] If the platform is 150 met"
65,numerical_ability,NA_RAT,Ratio & Proportion,0.95,"A person distributes his pens among four friends A"
66,numerical_ability,NA_SI,Simple Interest,0.95,"A sum is lent at simple interest at a certain rate"
67,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
68,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
69,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
70,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
71,reasoning,RM_NV_PATTERN,Non-Verbal Pattern Completion,0.95,"[FIGURE QUESTION - non verbal reasoning pattern/di"
72,reasoning,RM_VR_ANALOGY,Verbal Analogy,0.90,"Editor : Magazine : ? : ?"
73,reasoning,RM_VR_ANALOGY,Verbal Analogy,0.95,"Taste : Tongue : : Walk : ?"
74,reasoning,RM_VR_ANALOGY,Verbal Analogy,0.95,"Chimney : Smoke : : _____ : ____"
75,reasoning,RM_NV_ANALOGY,Non-Verbal Analogy,0.95,"DCGH : LKQP : : FEJI : ?"
76,reasoning,RM_VR_ANALOGY,Verbal Analogy,0.95,"Paw : Cat :: Hoof : ?"
77,reasoning,RM_NV_SERIES,Non-Verbal Series,0.90,"Select a figure from amongst the Answer Figures wh"
78,reasoning,RM_NV_SERIES,Non-Verbal Series,0.90,"Select a figure from amongst the Answer Figures wh"
79,reasoning,RM_NV_SERIES,Non-Verbal Series,0.95,"Select a figure from amongst the Answer Figures wh"
80,reasoning,RM_NV_FIG,Figure-based Questions,0.90,"[REASONING - likely non-verbal figure/diagram]"
81,reasoning,RM_NV_SERIES,Non-Verbal Series,0.95,"Select a figure from amongst the Answer Figures wh"
82,reasoning,RM_NV_PATTERN,Pattern Completion,0.95,"Identify the figure that completes the pattern."
83,reasoning,RM_NV_PATTERN,Pattern Completion,0.95,"Identify the figure that completes the pattern."
84,reasoning,RM_NV_PATTERN,Pattern Completion,0.95,"Identify the figure that completes the pattern."
85,numerical_ability,NA_NUM,Number System,0.50,"[MATH - topic cannot be inferred from neighbors]"
86,reasoning,RM_NV_PATTERN,Pattern Completion,0.95,"Identify the figure that completes the pattern."
87,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.95,"Choose the figure which is different from the rest"
88,unknown,unknown,unknown,0.00,"Choose the figure which is different from the rest"
89,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.95,"Choose the figure which is different from the rest"
90,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.95,"Choose the figure which is different from the rest"
91,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.95,"Choose the figure which is different from the rest"
92,reasoning,RM_NV_VENN,Venn Diagrams,0.90,"Which of the following diagrams indicates the best"
93,unknown,unknown,unknown,0.00,"Which of the following diagrams indicates the best"
94,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.90,"Which of the following diagrams indicates the best"
95,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.90,"Which of the following diagrams indicates the best"
96,reasoning,RM_NV_CLASS,Non-Verbal Classification,0.90,"Which of the following diagrams indicates the best"
97,reasoning,RM_NV_SERIES,Non-Verbal Series,0.90,"Select a suitable figure from the Answer Figures t"
98,unknown,unknown,unknown,0.00,"Select a suitable figure from the Answer Figures t"
99,numerical_ability,NA_NUM,Number System,0.50,"[MATH - topic cannot be inferred from neighbors]"
100,reasoning,RM_NV_FIG,Figure-based Questions,0.95,"Select a suitable figure from the Answer Figures t"
